paper,scope,theme,dimension,dimension2,hexcode,markers,sub_Markers,hashtag
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD75,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Healthy Item Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD76,"Dietary quality indexes (ratios, indexes or quantity/day of specific foods or nutrients)",Unhealthy Item Score,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD77,Experienced-based Scales,Household Hunger Scale (HHS),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD78,Experienced-based Scales,Household Food Insecurity Access Scale (HFIAS),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD79,Experienced-based Scales,Food Insecurity Experience Scale (FIES),nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,market,FCDD80,"Nutrient adequacy (percent of requirements for specific nutrients), intake or density",,nutrition
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FBD037,Diversity of the food supply (index of functional attributes or food sources),,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Access,market,FBD038,Diversity of foods available in local markets (number of distinct foods or good groups),,"nutrition, food_supply"
Measuring Food and Nutritional Security,global,Food/Nutrition,Availability of Food,finance,F68B3A,Government Expenditure Share on Agriculture,,"government, public_investment"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",wellbeing,F68B3A,Farmer age/gender distribution,,demographic
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",wellbeing,F68B3A,Farmer education,,education
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",wellbeing,F68B3A,Number of farms,,demographic
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",wellbeing,F68B3A,Agricultural support,,"government, public_investment, social_service"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",wellbeing,F68B3A,Farm income,,"income, farm_management"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,wellbeing,F68B3A,Nutrient Management,Nutrient management plans,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",market,F68B3A,Land use,stock of agricultural land,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",finance,F68B3A,Agri-environmental expenditure,public and private agri-environmental expenditure,public_investment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",finance,F68B3A,Agri-environmental expenditure,expenditure on agri-environmental,public_investment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",finance,F68B3A,Agricultural GDP,,economy
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",practice,F68B3A,Agriculture output,,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",practice,F68B3A,Farm employment,,labor
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",practice,F15544,Land use,change in agriculture land,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",practice,F15545,Land use,agricultural land use,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15546,Whole farm management,Environmental whole farm management plans,"environment, farm_management"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15547,Whole farm management,Organic farming,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15548,Nutrient Management,Soil tests,soil
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15549,Pest Management,Use of non-chemical pest control,"pest, environemt"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15550,Pest Management,Use of integrated pest management,pest
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15551,Soil and land management,Soil cover,soil
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F15552,Soil and land management,Land management practices,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,practice,F8C7B09,Irrigation and water management,irragation technology,"farm_management, water_use"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B10,Nutrient Use,Nitrogen balance,"land, fertilizer"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B11,Nutrient Use,Nitrogen efficiency,"land, fertilizer"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B12,Pesticide Use and Risk,pesticide use,"pest, environment"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B13,Pesticide Use and Risk,pesticide risk,"pest, environment"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B14,Water Use,water use intensity,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B15,Water Use,water use technical efficiency,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F8C7B16,Water Use,water use economic efficiency,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,practice,F58B78,Water Use,water stress,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B79,Soil quality,risk of soil erosion by water,"soil, climate"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B80,Soil quality,risk of soil erosion by wind,"soil, climate"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B81,water quality,water quality risk indicator,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B82,water quality,water quality state indicator,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B83,Land Conservation,water retaining capacity,"water_use, waste"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B84,Land Conservation,off-farm sediment flow (soil retaining capacity),"soil, waste"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B85,Greenhouse Gases,Gross agricultural greenhouse gas,environment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B86,Biodiversity,Genetic diversity,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B87,Biodiversity,Wild species,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B88,Biodiversity,Non-native species,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B89,Wildlife Habitats,intensively-farmed agricultural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B90,Wildlife Habitats,semi-natural agricultural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B91,Wildlife Habitats,Uncultivated natural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B92,Wildlife Habitats,Habitat matrix,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B93,Landscape,environmental features and land use patterns,"farm_management, land"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B94,Landscape,man-made objects (culture features),culture
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F58B95,Landscape,landscape management,"farm_management,land"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,environment,F8B6BE,Landscape,landscape costs and benefits,"farm_management,land"
Agri products sustainable classification,countries,Sustainability,Political Spending,finance,F8B6BF,"Amount of political campaign spending, lobbying expenditures, and contributions to tax-exempt groups including trade associations",,"farm_management, investment"
Agri products sustainable classification,countries,Sustainability,Political Spending,finance,F8B6C0,"Five largest political, lobbying, or tax-exempt group expenditures",,"farm_management, investment"
Agri products sustainable classification,countries,Sustainability,Food safety,practice,F8B6C1,global food safety initiative audit conformance,major non-conformance rate and corrective action rate,farm_management
Agri products sustainable classification,countries,Sustainability,Food safety,practice,F8B6C2,global food safety initiative audit conformance,minor non-conformance rate and associated corrective action rate,farm_management
Agri products sustainable classification,countries,Sustainability,Food safety,practice,F8B6C3,"number of recall issued, total amount of food product recalled",,farm_management
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,practice,F8B6C4,Amount of production certified for fair labor practices,,"labor, farm_management"
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,practice,F8B6C5,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",full-time employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,practice,F8B6C6,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",seasonal employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,practice,F8B6C7,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",migrant employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,practice,F8B6C8,"Desctiption of efforts to access, monitor, and reduce exposure of full-time and migrant/seasonal employees to pesticides",,"labor, farm_management"
Agri products sustainable classification,countries,Sustainability,Water Withdrawal,practice,F389A4,"Total fresh water withdrawn, percentage recycled, percentage in regions with High or Extremely High Baselinw Water Stress",,environment
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,F389A5,Amount of fertilizer consumption,nitrogen-based,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,F389A6,Amount of fertilizer consumption,phosphate-based,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,E2267C,Amount of fertilizer consumption,postassium-based fertilizer,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,E2267C,"Number of incidents of non-compliance with water quality permits, standards, and regulations",,water_use
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,E2267C,Volume of wastewater generated,percent of resued,"water_use, waste"
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,E2267C,Volume of wastewater generated,percent of discharged to the environment,"water_use, waste"
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,practice,E2267C,"amount of pesticide consumption,by hazard level",,"pest, environment"
Agri products sustainable classification,countries,Sustainability,Greenhouse Gas Emission,environment,CC1F43,Gross global scope 1 emissions,,environment
Agri products sustainable classification,countries,Sustainability,Greenhouse Gas Emission,environment,CC1F44,"Desctiption of long-term and short-term strategy or plan to manage Scope 1 emissions, including emissions reduction targets and an analysis of performance against those targets",,"farm_management, environment"
Agri products sustainable classification,countries,Sustainability,Energy Management,environment,8C133A,"Total energy consumed, percentage grid electricity, percnetage renewable",,environment
Agri products sustainable classification,countries,Sustainability,Climate Change Impacts on Crop Yields,environment,8C133A,"Amount of crop losses, percentage offset through financial mechanisms",,"farm_management, financial_service, crop"
Agri products sustainable classification,countries,Sustainability,Climate Change Impacts on Crop Yields,environment,8C133A,Identification of priority crops and discussion of risks and/or opportunities presented by climate change,,"farm_management, climate, crop"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,environment,47334F,Percentage of agricultural raw materials sourced from regions with regions with High or Extremely High Baseline Water Stress,,"environment, crop"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,environment,47334F,Percentage of agricultural raw materials that are certified to a third-party environmental and/or social standard,,"environment, regulation"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,environment,733765,Description of management strategy for environmental and social risks arising from contract growers and commodity sourcing,,"farm_management, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,market,733765,stakeholders supporting,,"social, financial_service, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,market,733765,Product price stability,,"farm_management, product, food_market"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,market,733765,Marketing network,,"food_market, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,market,733765,Producer-Buyer Relationship,,"food_market, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,practice,733765,Farm income,,"farm_management, income"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,733765,Land preparation,,"land, farm management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,733765,Erosion Control,,"soil, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,A65B98,Nutrient and soil fertile management,,"soil, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,A65B99,the used of fertilizer,,"fertilizer, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,A65B100,intensity of land occupy,,"land, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,A65B101,cropping system,,"farm_management, crop"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,A65B102,weed control,,"crop, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,practice,B3649E,pest & disease control,,"pest, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,practice,B3649E,local community enggagement,,social
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,practice,B3649E,resources availability & acessibility,,"resource, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,practice,B3649E,Productivity or yield,,"farm_management, production"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,practice,B3649E,cost of production,,"farm_management, investment"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,practice,B3649E,Product quality,,"farm_management, product"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,science,B3649E,supporting system accessibility,,"social, government"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,science,A674A9,resouce conservation knowledge,,"resource, knowledge, conservation"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,A674A10,"Opportunities to increase skills and knowledge, to advance within the enterprise",,"farm_management, knowledge"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,A674A11,"provide a culturally appropriate and nutritionally adequate diet and allows time for family, rest and culture",,"culture, nutrition"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,A674A12,"Access to the means of production, including equipment, capital and knowledge",,knowledge
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,A674A13,Participation in decision making and social affairs,,social_participation
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,A674A14,Job satisfaction,,personal_well_being
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,wellbeing,8453A1,Housing size,,personal_well_being
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,wellbeing,8453A2,Off-farm income earner,,income
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,market,8453A3,Strengthen local market organizations and institutions,,"food_market, social"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,market,8453A4,"Collaboration with multiple suppliers, outlets, and fellow farmers; crops planted in polycultures that encourage symbiosis and mutualism",,"farm_management, food_market, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,market,8453A5,Yield stability under varying conditions,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,market,C9B0CD,Less reliance on commodity markets and reduced external inputs; more sales to local markets,,"farm_management, food_market"
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,market,C9B0CD,Develop programs aimed at facilitate market access for small-holder and emerging farmers,,"social, farm_management"
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,market,C9B0CD,Procurement from local suppliers,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Food security,market,C9B0CD,Stability of food prices and supply,,"food_market, food_supply"
Ethics Based Approach to ag Indicators,country,Ethics,Food security,market,C9B0CD,Reducing food losses and waste,,"environment, farm_management"
Ethics Based Approach to ag Indicators,country,Ethics,Food security,market,C6D3EC,Availability to enough food from diverse sources to meet the consumption needs of a healthy and nutritious diets,,"nutrition, food_supply"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,finance,C6D3EC,Access to government services and supports (education and extension),,"government, education"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,finance,C6D3EC,Existence viable and sustainable rural financing schemes and bank services,,financial_service
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,finance,C6D3EC,Subsidies and financial assistance to promote sustainable behavior,,"government, financial_service"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,finance,C6D3EC,Premium support to farmers to participate in crop insurance ,,"financial_service, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,finance,C6D3EC,Price premium for agricultural products,,"government, food_market"
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,practice,B0D6F1,Moisture content (reduced runn off) of the soil,,soil
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,practice,B0D6F2,Soil tilth/workability,,soil
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,practice,B0D6F3,Soil nutrient balance,,soil
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,practice,B0D6F4,Heterogeneity and multi-functionality of the agricultural systems,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,practice,B0D6F5,Ability of the farming systems and the farmers to resist and recover from extreme environmental and climate change-related stresses and shocks,,"farm_management, environment, climate"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,practice,3C9FD9,Net farm income,,"farm_management, income"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,practice,3C9FD10,Harvested crop yields per hectare,,"farm_management, production, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,practice,3C9FD11,Low gap between actual and potential yields,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,practice,3C9FD12,Value of crop production per household,,"farm_management, production, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,practice,3C9FD13,No. of hectares (or hhs.) with improved practice,,"farm_management, knowledge"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,practice,3A91CF,Meet the highest nutritional standards applicable to respective type of products,,product
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,practice,3A91CF,Product labeling,,product
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,practice,3A91CF,Certificated production,,"production, product"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,practice,3A91CF,Percent of crop losses during storage,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,practice,3F7ABE,Number of crop storage facilities built and used,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,practice,3F7ABE,Autonomy in relation to land and resource management,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,practice,3F7ABE,Optimize recycling and use of biomass and africultural by products,,"input, environment, waste"
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,practice,57559F,"Precise, integrated use of mineral fertilizers and abailable organic nutrient sources",,"fertilizer, environment"
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,practice,57559F,Maximize the capture and efficient utilization of available water,,water_use
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,practice,57559F,Integrated pest management,,pest
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,environment,67569B,Ecologically self-regulated to preserve and improve the natural diversity and improve the natural diversity and improve the habitat function of agricultural landscapes,,"farm_management, product, environment, conservation"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,practice,67569B,Soil Health,Existence of polices that promote agricultural soil conservation practices (Yes/No),"government, soil, farm_management, policy"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,practice,67569B,Nutrients,Existence of policies promoting nutrient management practices (Yes/No),"government, farm_management, product, policy"
