paper,scope,theme,dimension,hexcode,markers,sub_Markers,hashtag
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Child weight and overweight (percent of overweight),,"nutrtion, children"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Low and very low birthweight (LBW and VLBW)(percent of births),,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Diarrhea (Incidence of food and waterborne diarrhea)(percent of children),,"nutrtion, children, health"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Adult raised blood glucose (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Adult raised blood pressure (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Utilization,FCDD61,Adult raised cholesterol levels (percent),,"health, adult"
Measuring Food and Nutritional Security,global,Food/Nutrition,Stability,FBD037,Volatility of food prices (standard deviations of prices over time),,"food_market, household_expenditure"
Measuring Food and Nutritional Security,global,Food/Nutrition,Stability,FBD037,percapita food supply variability,,food_supply
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Agricultural GDP,,economy
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Agriculture output,,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Farm employment,,labor
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Farmer age/gender distribution,,demographic
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Farmer education,,education
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Number of farms,,demographic
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Agricultural support,,"government, public_investment, social_service"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Land use,stock of agricultural land,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Land use,change in agriculture land,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Land use,agricultural land use,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Farm income,,"income, farm_management"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Agri-environmental expenditure,public and private agri-environmental expenditure,public_investment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,"Agriculture in the broader economic, social and environmental context",F68B3A,Agri-environmental expenditure,expenditure on agri-environmental,public_investment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Whole farm management,Environmental whole farm management plans,"environment, farm_management"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Whole farm management,Organic farming,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Nutrient Management,Nutrient management plans,farm_management
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Nutrient Management,Soil tests,soil
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Pest Management,Use of non-chemical pest control,"pest, environemt"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Pest Management,Use of integrated pest management,pest
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Soil and land management,Soil cover,soil
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Soil and land management,Land management practices,land
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Farm Management and the environment,F15544,Irrigation and water management,irragation technology,"farm_management, water_use"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Nutrient Use,Nitrogen balance,"land, fertilizer"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Nutrient Use,Nitrogen efficiency,"land, fertilizer"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Pesticide Use and Risk,pesticide use,"pest, environment"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Pesticide Use and Risk,pesticide risk,"pest, environment"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Water Use,water use intensity,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Water Use,water use technical efficiency,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Water Use,water use economic efficiency,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Use of farm inputs and natural resources,F8C7B9,Water Use,water stress,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Soil quality,risk of soil erosion by water,"soil, climate"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Soil quality,risk of soil erosion by wind,"soil, climate"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,water quality,water quality risk indicator,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,water quality,water quality state indicator,water_use
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Land Conservation,water retaining capacity,"water_use, waste"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Land Conservation,off-farm sediment flow (soil retaining capacity),"soil, waste"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Greenhouse Gases,Gross agricultural greenhouse gas,environment
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Biodiversity,Genetic diversity,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Biodiversity,Wild species,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Biodiversity,Non-native species,"farm_management, crop"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Wildlife Habitats,intensively-farmed agricultural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Wildlife Habitats,semi-natural agricultural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Wildlife Habitats,Uncultivated natural habitats,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Wildlife Habitats,Habitat matrix,"farm_management, infrastructure"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Landscape,environmental features and land use patterns,"farm_management, land"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Landscape,man-made objects (culture features),culture
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B78,Landscape,landscape management,"farm_management,land"
Agriculture and Biodiversity Indicators,countries,Ag and Biodiversity,Environmental impacts of agriculture,F58B95,Landscape,landscape costs and benefits,"farm_management,land"
Agri products sustainable classification,countries,Sustainability,Greenhouse Gas Emission,F26F78,Gross global scope 1 emissions,,environment
Agri products sustainable classification,countries,Sustainability,Greenhouse Gas Emission,F26F78,"Desctiption of long-term and short-term strategy or plan to manage Scope 1 emissions, including emissions reduction targets and an analysis of performance against those targets",,"farm_management, environment"
Agri products sustainable classification,countries,Sustainability,Energy Management,F05152,"Total energy consumed, percentage grid electricity, percnetage renewable",,environment
Agri products sustainable classification,countries,Sustainability,Water Withdrawal,FBCBC6,"Total fresh water withdrawn, percentage recycled, percentage in regions with High or Extremely High Baselinw Water Stress",,environment
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,Amount of fertilizer consumption,nitrogen-based,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,Amount of fertilizer consumption,phosphate-based,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,Amount of fertilizer consumption,postassium-based fertilizer,fertilizer
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,"Number of incidents of non-compliance with water quality permits, standards, and regulations",,water_use
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,Volume of wastewater generated,percent of resued,"water_use, waste"
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,Volume of wastewater generated,percent of discharged to the environment,"water_use, waste"
Agri products sustainable classification,countries,Sustainability,Land Use & Ecological Impacts,F8B6C2,"amount of pesticide consumption,by hazard level",,"pest, environment"
Agri products sustainable classification,countries,Sustainability,Food safety,F389A4,global food safety initiative audit conformance,major non-conformance rate and corrective action rate,farm_management
Agri products sustainable classification,countries,Sustainability,Food safety,F389A4,global food safety initiative audit conformance,minor non-conformance rate and associated corrective action rate,farm_management
Agri products sustainable classification,countries,Sustainability,Food safety,F389A4,"number of recall issued, total amount of food product recalled",,farm_management
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,E2267C,Amount of production certified for fair labor practices,,"labor, farm_management"
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,E2267C,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",full-time employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,E2267C,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",seasonal employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,E2267C,"Total Recordable Injury Rate (TRIR), Fatality Rate and Near Miss Frequency Rate",migrant employees,labor
Agri products sustainable classification,countries,Sustainability,Fair Labor Practices & Workforce Health & Safety,E2267C,"Desctiption of efforts to access, monitor, and reduce exposure of full-time and migrant/seasonal employees to pesticides",,"labor, farm_management"
Agri products sustainable classification,countries,Sustainability,Climate Change Impacts on Crop Yields,CC1F43,"Amount of crop losses, percentage offset through financial mechanisms",,"farm_management, financial_service, crop"
Agri products sustainable classification,countries,Sustainability,Climate Change Impacts on Crop Yields,CC1F43,Identification of priority crops and discussion of risks and/or opportunities presented by climate change,,"farm_management, climate, crop"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,8C133A,Percentage of agricultural raw materials sourced from regions with regions with High or Extremely High Baseline Water Stress,,"environment, crop"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,8C133A,Percentage of agricultural raw materials that are certified to a third-party environmental and/or social standard,,"environment, regulation"
Agri products sustainable classification,countries,Sustainability,Environmental & Social Impacts of Ingredient Supply Chains,8C133A,Description of management strategy for environmental and social risks arising from contract growers and commodity sourcing,,"farm_management, social"
Agri products sustainable classification,countries,Sustainability,Political Spending,47334F,"Amount of political campaign spending, lobbying expenditures, and contributions to tax-exempt groups including trade associations",,"farm_management, investment"
Agri products sustainable classification,countries,Sustainability,Political Spending,47334F,"Five largest political, lobbying, or tax-exempt group expenditures",,"farm_management, investment"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,Land preparation,,"land, farm management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,Erosion Control,,"soil, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,Nutrient and soil fertile management,,"soil, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,the used of fertilizer,,"fertilizer, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,intensity of land occupy,,"land, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,cropping system,,"farm_management, crop"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,weed control,,"crop, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Environment,733765,pest & disease control,,"pest, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,A65B98,local community enggagement,,social
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,A65B98,resources availability & acessibility,,"resource, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,A65B98,supporting system accessibility,,"social, government"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,A65B98,resouce conservation knowledge,,"resource, knowledge, conservation"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Social,A65B98,stakeholders supporting,,"social, financial_service, farm_management"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Productivity or yield,,"farm_management, production"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,cost of production,,"farm_management, investment"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Farm income,,"farm_management, income"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Product quality,,"farm_management, product"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Product price stability,,"farm_management, product, food_market"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Marketing network,,"food_market, social"
Farm Level Indicators in Indonesia ,country,Indonesia practice,Economy,B3649E,Producer-Buyer Relationship,,"food_market, social"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Access to government services and supports (education and extension),,"government, education"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Existence viable and sustainable rural financing schemes and bank services,,financial_service
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Strengthen local market organizations and institutions,,"food_market, social"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Subsidies and financial assistance to promote sustainable behavior,,"government, financial_service"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Premium support to farmers to participate in crop insurance ,,"financial_service, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Supportive policies,A674A9,Price premium for agricultural products,,"government, food_market"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,8453A1,Heterogeneity and multi-functionality of the agricultural systems,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,8453A1,Ability of the farming systems and the farmers to resist and recover from extreme environmental and climate change-related stresses and shocks,,"farm_management, environment, climate"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,8453A1,Ecologically self-regulated to preserve and improve the natural diversity and improve the natural diversity and improve the habitat function of agricultural landscapes,,"farm_management, product, environment, conservation"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,8453A1,"Collaboration with multiple suppliers, outlets, and fellow farmers; crops planted in polycultures that encourage symbiosis and mutualism",,"farm_management, food_market, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Resilience of farming systems,8453A1,Yield stability under varying conditions,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,C9B0CD,Net farm income,,"farm_management, income"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,C9B0CD,Harvested crop yields per hectare,,"farm_management, production, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,C9B0CD,Low gap between actual and potential yields,,"farm_management, production"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,C9B0CD,Value of crop production per household,,"farm_management, production, crop"
Ethics Based Approach to ag Indicators,country,Ethics,Productivity,C9B0CD,No. of hectares (or hhs.) with improved practice,,"farm_management, knowledge"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,"Opportunities to increase skills and knowledge, to advance within the enterprise",,"farm_management, knowledge"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,"provide a culturally appropriate and nutritionally adequate diet and allows time for family, rest and culture",,"culture, nutrition"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,"Access to the means of production, including equipment, capital and knowledge",,knowledge
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,Participation in decision making and social affairs,,social_participation
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,Job satisfaction,,personal_well_being
Ethics Based Approach to ag Indicators,country,Ethics,Quality of life,C6D3EC,Housing size,,personal_well_being
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,B0D6F1,Meet the highest nutritional standards applicable to respective type of products,,product
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,B0D6F1,Product labeling,,product
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,B0D6F1,Certificated production,,"production, product"
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,B0D6F1,Percent of crop losses during storage,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Quality of products,B0D6F1,Number of crop storage facilities built and used,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,3C9FD9,Off-farm income earner,,income
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,3C9FD9,Autonomy in relation to land and resource management,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,3C9FD9,Less reliance on commodity markets and reduced external inputs; more sales to local markets,,"farm_management, food_market"
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,3C9FD9,Develop programs aimed at facilitate market access for small-holder and emerging farmers,,"social, farm_management"
Ethics Based Approach to ag Indicators,country,Ethics,Self-reliance and Equity,3C9FD9,Procurement from local suppliers,,farm_management
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,3A91CF,Optimize recycling and use of biomass and africultural by products,,"input, environment, waste"
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,3A91CF,"Precise, integrated use of mineral fertilizers and abailable organic nutrient sources",,"fertilizer, environment"
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,3A91CF,Maximize the capture and efficient utilization of available water,,water_use
Ethics Based Approach to ag Indicators,country,Ethics,Wise use of resources,3A91CF,Integrated pest management,,pest
Ethics Based Approach to ag Indicators,country,Ethics,Food security,3F7ABE,Stability of food prices and supply,,"food_market, food_supply"
Ethics Based Approach to ag Indicators,country,Ethics,Food security,3F7ABE,Reducing food losses and waste,,"environment, farm_management"
Ethics Based Approach to ag Indicators,country,Ethics,Food security,3F7ABE,Availability to enough food from diverse sources to meet the consumption needs of a healthy and nutritious diets,,"nutrition, food_supply"
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,57559F,Moisture content (reduced runn off) of the soil,,soil
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,57559F,Soil tilth/workability,,soil
Ethics Based Approach to ag Indicators,country,Ethics,Soil health and quality,57559F,Soil nutrient balance,,soil
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,67569B,Soil Health,Existence of polices that promote agricultural soil conservation practices (Yes/No),"government, soil, farm_management, policy"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,67569B,Nutrients,Existence of policies promoting nutrient management practices (Yes/No),"government, farm_management, product, policy"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Policy,67569B,Pesticides,Actions to ban or restrict pesticides and toxic chemicals under the Stockholm Convention (25-point scale),"government, farm_management, pest, environment, regulation"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,504E85,Soil Health,Share of arable land under soil conservation practices (percent),"land, farm_management"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,504E85,Soil Health,Share of cropland under conservation agriculture (eg. Organic soil cover greater than 30 percent immediately after planting) (percent),"land, farm_management, conservation"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,504E85,Nutrients,Share of agricultural land under nutrient management practices (percent),"land, farm_management, product"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Practice,504E85,Pesticides,Share of cropland under integrated pest management (percent),"land, farm_management, environment"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Soil Health,Share of agricultural land affected by soil erosion (percent),"land, soil"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Soil Health,Percent change in net primary productivity (NPP) across agricultural land (percent),"land, product"
WRI-Indicators of Sustainable Agriculture: a Scoping Analysis,global,sustainability,Performance,596480,Soil Health,Soil organic matter (carbon) content (tons of carbon per hectare),soil
