paper,dimension,hex1,metric,hex2,marker,new,old
,agricultural practice,FF893B,agricultural input,FFC7A1,Fertilizer applied per unit of arable land (tons of nutrients per hectare of arable land),0,Fertilizer applied per unit of arable land (tons of nutrients per hectare of arable land)
,agricultural practice,FF893B,agricultural input,FFC7A1,Food waste out of farm,1,
,agricultural practice,FF893B,agricultural input,FFC7A1,Percent of crop losses during harvest,1,
,agricultural practice,FF893B,agricultural input,FFC7A1,Percent of crop losses during storage,0,Percent of crop losses during storage
,agricultural practice,FF893B,labor,FFD0B1,Percentage of rural labor force employed in agriculture,0,"percentage of rural labor force employed in agriculture (total number of days/persons (rural household members) worked in agriculture, by type of work (paid/unpaid; permanent/occasional) during a specified period)"
,agricultural practice,FF893B,labor,FFD0B1,"Percentage of rural labor force employed in non-farm activities (activity status of rural household members, time worked in each activity)",0,"percentage of rural labor force employed in non-farm activities (activity status of rural household members, time worked in each activity)"
,agricultural practice,FF893B,labor,FFD0B1,"Percentage of the labor force underemployed  or unemployed (economically active population, employment and unemployment data on hours/days of work)",0,"percentage of labor force underemployed or unemployed (economically active population, employment and unemployment data on hours/days of work)"
,agricultural practice,FF893B,labor,FFD0B1,Minimum perceived age to work full-time on the farm,1,
,agricultural practice,FF893B,labor,FFD0B1,Average amount of family members working on farm,1,
,agricultural practice,FF893B,labor,FFD0B1,Amount of farmers that migrated to urban areas/switched profession,1,
,agricultural practice,FF893B,infrastructure,E0CFC3,Amount of shared utilities/storehouses in the community,1,
,agricultural practice,FF893B,infrastructure,E0CFC3,services of highways & streets,0,services of highways & streets
,agricultural practice,FF893B,infrastructure,E0CFC3,Access and Internet use (Percentage of individuals using the Internet),0,Access and Internet use (Percentage of individuals using the Internet)
,agricultural practice,FF893B,infrastructure,E0CFC3,Diversity of media content (descriptive) (Ratio of annual broadcasting time of domestic television fiction programmes out of total annual broadcasting time of television fiction programmes on public free-to-air national TV channels),0,Diversity of media content (descriptive) (total number of broadcasting hours dedicated to domestic fiction programmes on national public TV channels)
,agricultural practice,FF893B,infrastructure,E0CFC3,Number of borewells/tubewells; Money spent on borewells; Functional wells/total,1,
,agricultural practice,FF893B,infrastructure,E0CFC3,Change (percentage) in unit cost of transportation of agricultural products,0,change(percentage) in unit cost of transportation of agricultural products (cost and volume of agricultural products transported by mode of transport and region)
,environment,E52738,pollution,EA5260,Cost of water pollution,0,cost of water pollution
,environment,E52738,pollution,EA5260,Usage of pestcide in a hazard level,0,"amount of pesticide consumption, by hazard level"
,environment,E52738,pollution,EA5260,Chemical content in fertilizer,0,usage of chemical fertilizer
,environment,E52738,resource usage,F297A0,Cost of non-renewable energy resource depletion,0,cost of non-renewable energy resource depletion
,environment,E52738,resource usage,F297A0,Rainwater harvesting methods,1,
,environment,E52738,resource usage,F297A0,Fallow system,1,
,environment,E52738,climate,FAD5D9,Catastrophic weather / weather trends /drought frequency,0,catastrophic weather / weather trends
,science and technology,6B0C22,research,893D4E,Public investment in agricultural research as a percentage of GDP from the agriculture sector,0,"public investment in agricultural research as a percentage of GDP from the agriculture sector (budget allocations to agriculture research institutions, GDP for agriculture)"
,science and technology,6B0C22,information dissemination,B88B95,"Percentage change in yields resulting from improved practices, for major crops of the country",0,"percentage change in yields resulting from improved practices, for major crops of the country (crop yield data for major crops)"
,science and technology,6B0C22,information dissemination,B88B95,Change in farmer income as a result of new technologies (by gender),0,"yield before and after introduction of new technology, price of outputs, distribution of agricultural land, area dedicated to new technology"
,science and technology,6B0C22,information dissemination,B88B95,Frequency of agriculture related workshops or events,1,
,science and technology,6B0C22,information dissemination,B88B95,Access to government provided weather/satellite data,0,number of people interacting with information sharing mechanisms
,science and technology,6B0C22,information dissemination,B88B95,Percentage of farmers having knowledge of a specific technology being disseminated by extension system,0,percentage of farmers having knowledge of a specific technology being disseminated by extension system
,science and technology,6B0C22,information dissemination,B88B95,Percentage of farmers trying the specific technology advice from extension systems on their farms,0,percentage of farmers trying the specific technology advice from extension systems on their farms
,science and technology,6B0C22,information dissemination,B88B95,"Indicators of access, use and satisfaction with  respect to services related to sustainable crop production practices, technologies and inputs",0,percentage of farmers who applied /purchased the recommended package of inputs last season
,science and technology,6B0C22,information dissemination,B88B95,"Percentage of farmers who were satisfied with the specific technological recommendations of the extension system and judged it beneficial, with or without adaptation",0,percentage of farmers having knowledge of a specific technology being disseminated by extension system
,culture and religion,2E0927,culture,583A52,Frequency of agriculture related festival celebration,1,
,culture and religion,2E0927,culture,583A52,Amount of crafts specific to certain crops,1,
,culture and religion,2E0927,culture,583A52,Amount of agriculture practice inherited from the ancestors,1,
,culture and religion,2E0927,culture,583A52,Average amount of household expenditure on cultural goods and services,0,Calculation of household final consumption expenditures on cultural goods and services
,culture and religion,2E0927,culture,583A52,Percentage of persons who attended a national or local festival in the last 12 months,0,percentage of persons who attended movies/cinema/film festivals in the last 12 months
,culture and religion,2E0927,culture,583A52,Percentage of persons who participated in community celebrations of cultural/historic events,0,percentage of persons who participated in community celebrations of cultural/historic events
,culture and religion,2E0927,culture,583A52,Percentage of persons who participated in community rites/events/ceremonies,0,percentage of persons who participated in community rites/events/ceremonies 
,culture and religion,2E0927,religion,9B8997,Number of agro-related god in the region,1,
